run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run2,8192,1,128,0,1,DSH,10,970.4003749999999,964.403,972.873390625,2.1909273166768672
Run2,8192,1,128,0,1,HSD,10,442.9176484375,441.95784375,443.58447265625,1.0
Run2,8192,1,128,0,1,SHD,10,444.41895312500003,443.48534765625,444.70100390625004,1.0033895797397017
Run2,8192,8,64,4,1,DSH,10,723.436859375,706.3681640625,827.47690625,4.594712300165029
Run2,8192,8,64,4,1,HSD,10,157.449871094,156.9432734375,158.40340429725,1.0
Run2,8192,8,64,4,1,SHD,10,160.9632148435,160.5913066405,161.31046289025,1.0223140465285137
Run2,8192,8,128,4,1,DSH,10,1992.6510625,1984.491546875,2004.2760625,4.492158630147656
Run2,8192,8,128,4,1,HSD,10,443.5843046875,443.14665234375,447.65250390625,1.0
Run2,8192,8,128,4,1,SHD,10,503.2223203125,469.4374921875,514.82991796875,1.1344457299205262
Run2,8192,32,64,16,1,DSH,10,2319.1770625,2284.309265625,2505.253890625,14.701067101925648
Run2,8192,32,64,16,1,HSD,10,157.7556953125,157.37207226524998,159.459148438,1.0
Run2,8192,32,64,16,1,SHD,10,169.720703125,168.88411132775,172.636878906,1.0758451717942632
Run2,8192,32,128,16,1,DSH,10,5015.8333125,4966.854218750001,5051.31896875,11.273539674556611
Run2,8192,32,128,16,1,HSD,10,444.92089062499997,443.52457421875,449.2298203125,1.0
Run2,8192,32,128,16,1,SHD,10,639.8531875,622.6824531249999,665.68831640625,1.4381279930487643
Run2,32768,1,64,0,1,DSH,10,2009.63021875,2004.024734375,2041.012375,3.148489796871577
Run2,32768,1,64,0,1,HSD,10,638.283859375,635.41503125,641.8883515625,1.0
Run2,32768,1,64,0,1,SHD,10,638.87565625,636.065109375,641.572921875,1.0009271687922352
Run2,32768,1,128,0,1,DSH,10,4543.1953125,4523.5533749999995,4569.78521875,2.5415088773559136
Run2,32768,1,128,0,1,HSD,10,1787.59765625,1782.382125,1803.0618281250001,1.0
Run2,32768,1,128,0,1,SHD,10,1790.2265312499999,1781.9759374999999,1808.572921875,1.0014706189565692
Run2,32768,8,64,4,1,DSH,10,5710.3126250000005,5673.55725,5731.08075,8.89242167674824
Run2,32768,8,64,4,1,HSD,10,642.154953125,638.3391796875001,644.9560546875,1.0
Run2,32768,8,64,4,1,SHD,10,681.51496875,680.1171796875,686.8316953125,1.0612936417191168
